jp_philosopher,jp_work,jp_chars,sep_slug,sep_chars,similarity,rank
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,wittgenstein-aesthetics,96044,0.8005,1
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,consciousness-representational,115682,0.7967,2
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,buddhism-tiantai,156231,0.7825,3
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,condillac,96062,0.7801,4
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,qualia,85298,0.7726,5
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,metaphor,146212,0.7688,6
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,perception-contents,166087,0.7678,7
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,gadamer-aesthetics,72517,0.7674,8
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,johann-herbart,145051,0.7656,9
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,aesthetic-experience,151649,0.7589,10
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,aesthetics-cogsci,112240,0.7588,11
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,collingwood-aesthetics,51656,0.7587,12
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,landmann-kalischer,79616,0.7568,13
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,croce-aesthetics,46063,0.7549,14
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,aesthetics-18th-british,70240,0.7545,15
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,beardsley-aesthetics,131495,0.7544,16
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,perception-problem,117930,0.7538,17
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,aesthetic-judgment,76408,0.7534,18
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,aesthetics-19th-romantic,98834,0.7531,19
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,universals-medieval,122355,0.7508,20
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,perception-india,111823,0.7507,21
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,experimental-aesthetics,123252,0.7458,22
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,medieval-terms,51610,0.7446,23
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,phenomenology-religion,84812,0.7427,24
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,content-narrow,114780,0.7422,25
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,aesthetics-18th-german,322735,0.7421,26
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,qualities-prim-sec,103980,0.7408,27
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,postmodernism,79466,0.7408,28
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,thick-ethical-concepts,131134,0.7397,29
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,mind-identity,54546,0.7393,30
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,representation-medieval,29563,0.7391,31
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,beauty,81564,0.7385,32
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,hermann-lotze,99004,0.7377,33
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,plato-metaphysics,128854,0.7361,34
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,rigid-designators,116461,0.7358,35
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,content-nonconceptual,108391,0.7354,36
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,consciousness-intentionality,197399,0.7351,37
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,intentionality-ancient,63090,0.7351,38
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,qualia-inverted,113076,0.7348,39
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,depiction,95838,0.7345,40
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,early-modern-india,146595,0.7329,41
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,plato-aesthetics,102714,0.7325,42
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,ryle,105532,0.7315,43
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,intensional-trans-verbs,91343,0.7313,44
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,nagarjuna,90278,0.7308,45
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,mohist-canons,146970,0.7289,46
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,aesthetics-existentialist,98250,0.7283,47
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,broad,78488,0.7283,48
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,intentionality,107604,0.7282,49
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,sense-data,108578,0.7273,50
