jp_philosopher,jp_work,jp_chars,sep_slug,sep_chars,similarity,rank
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,johann-herbart,145051,0.6622,1
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,gangesa,114855,0.656,2
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,condillac,96062,0.6552,3
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,meinong,139971,0.6436,4
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,hermann-lotze,99004,0.6401,5
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,radulphus-brito,64884,0.6398,6
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,abrabanel,57531,0.6277,7
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,merleau-ponty,103995,0.6266,8
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,robert-kilwardby,148886,0.6261,9
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,burley,115565,0.6217,10
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,ingarden,52942,0.621,11
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,llull,65388,0.6187,12
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,michel-henry,67455,0.6176,13
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,henry-ghent,85659,0.6143,14
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,ryle,105532,0.6134,15
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,ibn-bajja,117735,0.6122,16
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,lesniewski,100489,0.6117,17
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,peter-spain,42361,0.6115,18
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,dietrich-freiberg,79253,0.6097,19
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,simon-faversham,45088,0.6065,20
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,shankara,89230,0.6064,21
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,kumaarila,103698,0.6062,22
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,twardowski,79479,0.6054,23
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,sharpe,50729,0.6046,24
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,plotinus,95350,0.6038,25
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,husserl,152478,0.6025,26
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,schlegel-aw,92971,0.5993,27
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,grice,60807,0.5992,28
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,alyngton,60766,0.5977,29
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,sriharsa,104242,0.5974,30
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,erfurt,32262,0.5967,31
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,boethius-dacia,54051,0.5966,32
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,schiller,83194,0.5944,33
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,ehrenfels,75699,0.5937,34
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,abelard,89142,0.5927,35
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,deleuze,120638,0.5923,36
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,gomez-pereira,68999,0.5907,37
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,sellars,117210,0.5907,38
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,crathorn,24237,0.5881,39
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,du-bos,38393,0.5879,40
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,empedocles,77299,0.5871,41
Kuki Shūzō / 九鬼周造,"「いき」の構造 (The Structure of Iki, 1930)",50403,dilthey,85569,0.587,42
